game_number,date,update_time_et,matchup,winner,score,perfect_brackets_remaining,scope,source
0,2026-03-19,2026-03-19T21:12:24Z,BEFORE,NA,NA,26200000,ESPN Tournament Challenge perfect-bracket tracker,ESPN perfect-bracket tracker + ESPN scoreboard
1,2026-03-19,2026-03-19T21:12:24Z,TCU Horned Frogs vs. Ohio State Buckeyes,TCU Horned Frogs,66-64,14500000,ESPN Tournament Challenge perfect-bracket tracker,ESPN perfect-bracket tracker + ESPN scoreboard
2,2026-03-19,2026-03-19T21:12:24Z,Troy Trojans vs. Nebraska Cornhuskers,Nebraska Cornhuskers,47-76,2400000,ESPN Tournament Challenge perfect-bracket tracker,ESPN perfect-bracket tracker + ESPN scoreboard
3,2026-03-19,2026-03-19T21:12:55Z,High Point Panthers vs. Wisconsin Badgers,High Point Panthers,83-82,889000,ESPN Tournament Challenge perfect-bracket tracker,ESPN perfect-bracket tracker + ESPN scoreboard
4,2026-03-19,2026-03-19T21:12:55Z,Siena Saints vs. Duke Blue Devils,Duke Blue Devils,65-71,869226,ESPN Tournament Challenge perfect-bracket tracker,ESPN perfect-bracket tracker + ESPN scoreboard
5,2026-03-19,2026-03-19T21:12:55Z,South Florida Bulls vs. Louisville Cardinals,Louisville Cardinals,79-83,849226,ESPN Tournament Challenge perfect-bracket tracker,ESPN perfect-bracket tracker + ESPN scoreboard
7,2026-03-19,2026-03-19T21:26:31Z,McNeese Cowboys vs. Vanderbilt Commodores,Vanderbilt Commodores,68-78,634726,ESPN Tournament Challenge perfect-bracket tracker,ESPN perfect-bracket tracker + ESPN scoreboard
